Date,QSR_QUANTITY_FAILS,close,open,low,high,volume
2020-11-24,142904,60.36,61.71,60.36,63.0315,1793142
2020-11-25,143857,60.06,62.5,59.8,62.5,943842
2020-11-27,118300,58.79,59.6,58.66,60.6,958985
2020-11-30,3565,57.76,61.0,56.88,61.0,2379752
2020-12-01,4039,58.2,59.4,57.24,59.4,1971759
2020-12-02,40445,60.0,59.44,59.12,60.51,1287825
2020-12-03,5307,59.64,61.17,59.64,61.17,1423133
2020-12-04,1801,63.5,59.52,59.52,63.5,1662406
2020-12-07,260,62.39,61.53,60.19,62.39,1161662
2020-12-08,354,62.0,60.32,59.84,62.01,865184
2020-12-09,2698,62.6,60.25,60.25,64.25,1523993
2020-12-10,754,62.96,62.87,61.59,62.96,1016506
2020-12-11,1219,61.13,63.59,61.13,64.18,862883
2020-12-14,8817,63.79,64.31,61.57,64.44,1565907
2020-12-15,305,63.58,62.16,62.16,65.15,1575539
2020-12-16,33710,63.0,63.45,63.0,65.77,3369870
2020-12-17,3364,62.42,66.08,62.42,66.08,2484497
2020-12-18,861,64.39,63.13,60.99,64.39,3157831
2020-12-21,20145,62.01,62.25,62.01,62.54,1132359
2020-12-22,18188,62.76,63.93,62.76,63.93,1193240
2020-12-23,11571,63.0,61.68,61.68,63.0,938376
2020-12-24,15661,63.09,61.05,61.05,63.38,274294
2020-12-28,163998,60.63,62.49,60.63,63.89,738162
2020-12-29,4368,63.8,61.59,61.4,63.8,1148321
2020-12-30,2017,62.77,62.57,62.57,63.382,1104149
2021-01-04,80845,61.44,63.8,60.68,63.8,2590103
2021-01-05,219,60.47,60.68,60.47,60.68,3245936
2021-01-06,68,62.72,60.4,59.18,62.9,3361483
2021-01-07,27471,64.05,64.32,63.38,65.17,2641303
2021-01-08,1994,64.82,65.6,64.82,66.51,1584546
2021-01-12,6433,65.56,63.66,62.59,65.56,1314809
2021-01-13,4505,64.08,63.09,62.8,65.16,1493692
2021-01-14,5203,65.23,64.95,64.44,66.42,1499836
2021-01-15,5447,65.64,64.55,63.18,65.91,1394900
2021-01-20,4605,63.25,63.96,61.68,64.83,1568598
2021-01-22,1363,62.14,62.92,62.14,63.01,981896
2021-01-25,178,60.67,63.0,59.6,63.0,1553408
2021-01-26,13445,61.8,60.65,59.74,61.8,1304403
2021-01-28,109,58.66,59.5,57.12,59.92,1814157
2021-01-29,85,59.9,59.54,59.45,59.9,1293504
