Date,JPM_QUANTITY_FAILS,close,open,low,high,volume
2021-04-07,5100,159.47,154.6,154.6,161.89,17710054
2021-04-08,1054,155.74,160.0,155.0,160.0,12829872
2021-04-12,1926,158.9,161.69,158.9,162.73,12805319
2021-04-13,6591,157.42,161.45,153.37,161.45,16130013
2021-04-27,1148,157.71,152.1,150.33,157.71,13038665
2021-04-29,3496,161.62,156.42,154.1,161.62,12985582
2021-04-30,1243,158.88,154.5,154.5,159.98,11883314
2021-05-04,776,162.99,158.14,153.17,162.99,13288048
2021-05-05,202,161.41,157.0,157.0,162.54,7200100
2021-05-07,169,166.65,162.84,162.21,166.7,14389718
2021-05-10,11178,164.61,165.0,164.61,165.0,14422290
2021-05-11,9019,161.4,168.77,161.4,168.94,15649252
2021-05-12,12846,160.23,166.66,158.02,167.65,15045661
2021-05-13,13246,166.3,161.65,161.01,169.94,16106643
2021-05-17,9,166.2,163.64,163.64,172.11,9956035
2021-05-18,200,162.75,167.98,162.75,167.98,11171100
2021-05-19,5446,168.36,165.0,159.14,168.36,13360910
2021-05-24,182,167.65,170.65,167.65,170.65,9724933
2021-05-25,37822,162.11,166.95,162.11,169.2,12935311
2021-05-27,1708,167.56,165.62,165.62,171.15,16435184
2021-05-28,18,168.33,166.36,166.36,170.16,10734146
2021-06-01,2554,166.93,166.06,166.06,173.01,9674038
2021-06-02,40623,173.74,172.02,170.06,173.74,11005172
2021-06-07,3876,172.76,173.0,166.35,173.0,7617416
2021-06-08,800,171.0,169.12,167.1904,171.0,10420551
2021-06-09,185061,163.38,168.49,163.38,171.16,12914128
2021-06-22,36701,155.74,152.4,152.4,156.59,14705408
2021-06-25,48965,155.1,156.38,155.1,156.38,16234228
2021-06-28,48751,159.22,154.6,153.6187,161.49,14290708
2021-06-29,2361,155.89,156.0,155.89,162.75,14906753
2021-06-30,549,155.68,160.01,155.68,160.04,12762991
2021-07-02,5412,158.16,160.03,156.4,160.03,11827196
2021-07-06,63047,154.78,160.3,154.78,160.3,15332368
2021-07-08,300,154.68,153.62,153.62,157.23,18227111
2021-07-12,558,161.0,156.97,154.54,164.5851,20761478
2021-07-13,9700,163.16,158.35,158.35,165.09,23377708
2021-07-19,27,147.81,150.28,147.81,156.279,22739976
2021-07-20,4969,151.46,148.15,147.0336,157.22,15576542
2021-07-21,4869,157.3,158.74,152.85,158.74,12396153
2021-07-28,616,156.8,156.07,156.07,159.76,9443000
2021-07-30,276,156.04,153.82,153.82,156.6,10020797
2021-08-02,347,153.39,158.4,151.63,158.4,10251054
2021-08-03,3538,154.44,158.09,154.44,160.83,10447811
2021-08-04,408,151.94,156.79,151.94,156.79,10161086
2021-08-05,3749,158.54,154.21,154.21,159.65,9383956
2021-08-06,2013,163.3,157.37,157.02,163.3,13599996
2021-08-09,14287,164.3,164.4,161.4,164.56,9736864
2021-08-10,11400,163.64,158.11,158.11,163.64,8799772
2021-08-11,8261,166.41,166.0,164.33,166.41,9385828
2021-08-13,1902,160.98,164.84,160.98,164.84,9229854
2021-08-16,867,159.36,164.78,159.36,166.07,8772603
2021-08-17,3800,159.02,165.38,157.21,165.38,9682341
2021-08-19,528,157.79,159.42,157.79,163.23,9845199
2021-08-20,594,156.4,161.87,154.33,161.87,7068863
2021-08-23,724,160.4,161.48,156.56,163.45,8301957
2021-08-24,4000,162.75,159.0,158.26,162.75,7955282
2021-08-25,68,165.69,163.95,159.0,168.81,11857641
2021-08-27,49281,163.22,164.36,161.34,166.97,9006620
2021-08-31,24040,167.21,162.1,162.1,168.73,12923227
2021-09-01,97,164.32,167.6,164.32,168.07,8803685
2021-09-02,1579,168.03,163.96,161.55,168.03,8819767
2021-09-03,45,162.77,163.55,162.77,163.55,8073917
2021-09-07,23060,161.83,165.94,161.83,166.36,9341447
2021-09-09,357,163.72,165.88,163.72,165.88,8096103
2021-09-10,29733,159.66,162.04,159.66,168.287,8650716
2021-09-13,280,166.69,164.72,161.89,166.94,10550159
2021-09-14,91543,158.8,163.08,158.8,163.29,12152490
