Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2020-10-06,34161,4.74,4.6,4.6,4.74,4117028
2020-10-08,10855,4.6,4.7,4.56,4.7645,2208643
2020-10-09,9,4.79,4.84,4.77,4.84,2657756
2020-10-13,4582,5.36,4.98,4.92,5.36,10911646
2020-10-14,5681,5.13,5.19,5.13,5.51,5315355
2020-10-15,60822,5.26,5.23,4.98,5.26,4537424
2020-10-16,72775,5.13,5.3,5.13,5.3,6143065
2020-10-19,111115,5.42,5.28,5.19,5.42,4913143
2020-10-20,2583,5.15,5.3,5.13,5.45,4628068
2020-10-22,18714,5.37,5.16,5.16,5.37,2690715
2020-10-23,143,5.28,5.32,5.1,5.32,2625123
2020-10-26,3399,5.1,5.04,5.016,5.27,3824243
2020-10-27,1600,4.88,5.1,4.88,5.1,2130328
2020-10-28,23035,4.66,5.0,4.66,5.0,4039438
2020-10-29,86172,4.67,4.8,4.61,4.84,2644293
2020-10-30,214690,4.71,4.74,4.53,4.74,3607180
2020-11-02,42905,4.48,4.6,4.48,4.77,2946093
2020-11-03,1636,4.89,4.65,4.6,4.89,2828937
2020-11-04,94912,4.7,4.8,4.7,4.92,3225967
2020-11-05,5411,4.93,4.94,4.9,5.03,2643109
2020-11-06,7143,4.86,5.0,4.86,5.0,2960902
2020-11-09,28710,5.17,5.11,4.98,5.17,4030278
2020-11-10,45176,5.26,5.1,5.01,5.26,4162898
2020-11-12,31594,5.17,5.39,5.11,5.39,3091100
2020-11-13,30406,5.26,5.24,5.07,5.29,5406743
2020-11-16,71513,5.31,5.32,5.13,5.35,3383802
2020-11-17,5575,5.34,5.46,5.21,5.5,3320768
2020-11-18,72616,5.53,5.53,5.49,5.82,6281165
2020-11-19,40068,5.42,5.66,5.293,5.66,4413588
2020-11-20,1252,5.82,5.43,5.41,6.01,6799741
2020-11-23,811547,5.76,5.86,5.76,5.86,5063089
2020-11-24,61596,5.7,5.9,5.676,5.9,5369805
2020-11-25,2588,5.91,6.0,5.91,6.1,5038602
2020-11-27,71561,6.2,6.17,6.148,6.3,3745239
2020-11-30,1000,6.11,6.23,5.86,6.27,7200467
2020-12-01,66206,7.0,8.38,7.0,9.75,332732842
2020-12-03,103598,7.47,7.71,7.4,7.864,42002281
2020-12-04,8470,8.88,7.49,7.49,8.93,72254928
2020-12-07,38462,8.3,9.04,8.21,9.04,46817543
2020-12-08,3728,8.89,8.43,8.43,8.89,27479070
2020-12-09,29164,8.6,8.57,8.09,8.9,20315329
2020-12-10,259435,8.74,8.3,8.3,8.74,11019473
2020-12-11,190828,8.17,8.5,7.96,8.64,12041691
2020-12-14,1047,8.49,8.3,8.187,8.76,14912405
2020-12-16,35,8.25,8.48,8.25,8.58,8422267
2020-12-17,72692,8.43,8.6,8.08,8.6,17755872
2020-12-18,97096,7.03,7.84,7.0,7.85,49508235
2020-12-21,546436,7.34,7.02,6.79,7.5,18153913
2020-12-22,295927,7.45,7.44,7.13,7.81,17375284
2020-12-23,645744,7.35,7.4,7.31,7.41,9539170
2020-12-24,328566,7.31,7.14,7.12,7.44,6149885
2020-12-28,297689,7.13,7.3,6.94,7.38,10154653
2020-12-29,61678,6.85,7.09,6.85,7.09,11645526
2020-12-30,51804,6.96,6.99,6.7,6.99,9445802
2020-12-31,738,6.91,6.81,6.81,7.1,7719341
2021-01-04,506392,6.87,6.8,6.8,7.1234,11574563
2021-01-05,84745,6.92,6.79,6.572,7.0,9190610
2021-01-06,335512,6.9,6.77,6.69,6.99,11313165
2021-01-07,422050,7.25,6.96,6.95,7.404,13098046
2021-01-08,16140,7.8,7.5,7.4,7.8128,23974817
2021-01-11,22466,8.0,7.81,7.55,8.0,16285980
2021-01-12,39071,7.69,7.98,7.69,8.09,9521980
2021-01-13,177524,7.65,7.79,7.4,7.79,8748134
2021-01-14,56179,9.22,7.7,7.58,9.77,65770870
2021-01-15,339836,9.9,10.87,9.5,11.65,160266142
2021-01-19,202701,12.74,11.37,10.72,12.74,113329355
2021-01-20,463762,13.27,13.52,12.48,14.15,135952086
2021-01-21,267435,13.44,12.92,12.58,13.452,63698643
2021-01-22,365979,14.65,12.39,12.39,14.97,121369780
2021-01-25,680680,18.86,20.0,15.88,20.88,364379478
2021-01-26,786594,19.73,19.64,17.22,20.32,245724267
2021-01-27,991710,26.2,20.35,20.35,28.79,385439693
2021-01-28,299479,15.34,19.66,13.5,22.6,198753008
2021-01-29,431567,14.6,18.8,13.92,18.8,96384206
2021-02-02,21048,11.7,13.76,11.27,14.35,83981297
