Date,SPCE_QUANTITY_FAILS,close,open,low,high,volume
2021-01-04,166794,23.3,24.95,23.3,24.95,7956821
2021-01-05,5358,24.73,23.24,23.24,25.63,7723160
2021-01-06,2066,24.41,24.76,24.41,25.54,8401693
2021-01-07,263948,26.18,26.16,25.02,27.17,13464215
2021-01-08,61496,25.76,26.32,25.76,26.32,8905602
2021-01-11,219917,25.7,25.16,25.16,26.2,6510056
2021-01-12,55584,26.86,25.74,25.11,27.78,12277176
2021-01-13,25253,27.91,27.2,26.52,28.56,15423255
2021-01-14,566065,34.28,32.19,31.4653,34.8,58551537
2021-01-15,50950,30.86,32.93,30.3,33.02,19892459
2021-01-19,78913,31.95,33.87,31.8,33.87,20256394
2021-01-20,132119,32.8,31.76,31.12,33.45,13047866
2021-01-21,82630,34.13,32.6,31.81,34.3,14236318
2021-01-22,84844,34.33,33.7,32.4,35.66,13097883
2021-01-25,81557,37.0,35.77,32.9339,40.57,32188103
2021-01-26,54230,43.62,38.96,37.56,45.78,55578433
2021-01-27,14242,48.55,45.56,41.27,61.26,81653297
2021-01-28,23076,43.65,48.68,39.73,53.0,41631757
2021-01-29,22397,45.44,47.1,45.4,51.4,28867120
2021-02-01,75,55.47,47.78,47.29,60.0564,58547035
2021-02-02,11290,50.32,59.02,47.8,60.5,40223144
2021-02-03,22946,59.64,50.4,50.4,59.64,40758893
2021-02-04,10,56.0,57.0,53.74,65.6,33956438
2021-02-05,51094,56.17,56.37,52.081,56.37,13971825
2021-02-08,26873,58.72,57.97,54.4,59.68,14528004
2021-02-09,3700,58.87,58.12,54.49,58.87,9301490
2021-02-10,5664,53.96,58.3342,51.41,58.3342,14712273
2021-02-11,2386,61.57,54.52,52.1991,61.61,31260920
2021-02-16,335,50.42,53.79,50.42,55.47,15582848
2021-02-17,1536,50.37,51.11,46.83,52.23,13344661
2021-02-19,94282,51.6,51.83,51.04,52.9986,9099866
2021-02-23,8661,45.01,43.3,39.85,46.61,13936357
2021-02-24,9737,47.03,46.77,43.0778,47.5,6864906
2021-02-26,10758,38.9,37.44,36.0,40.67,21027107
2021-03-02,339944,35.28,39.61,33.68,39.61,15527943
2021-03-09,8224,30.5,29.22,27.76,31.6036,14933629
2021-03-11,5254,34.87,33.1,32.16,35.7,16102463
2021-03-12,371,35.79,33.0,33.0,36.33,10900845
2021-03-17,2223,34.81,33.28,32.52,34.81,12649835
2021-03-18,48412,32.25,33.55,32.25,33.96,9225691
2021-03-19,4521,34.3,32.35,31.2,34.3,7599558
2021-03-22,272997,32.88,34.2,32.4485,34.97,7502064
2021-03-23,9269,32.39,32.1,30.98,33.04,11825997
2021-03-24,24731,30.1,31.6,29.98,31.97,9200956
2021-03-25,91849,30.57,29.0,28.73,31.2143,9102641
2021-03-29,1629,29.73,31.91,29.69,32.12,11694779
2021-03-30,8055,30.64,29.25,29.25,31.37,8588852
2021-03-31,236365,32.07,31.29,30.424,32.615,8802484
2021-04-05,35,30.9,32.72,30.13,32.72,10377167
2021-04-06,8072,31.1,30.7,29.78,32.0,7171767
2021-04-08,70137,30.3,30.1,29.7,30.3,6858096
2021-04-09,8953,30.73,30.1,29.399,30.73,3718104
2021-04-12,3610,28.05,29.2,26.79,29.39,15567614
2021-04-13,2064,27.9,27.18,26.94,28.7,11318259
2021-04-14,329155,26.78,27.45,26.47,28.44,9331243
2021-04-15,2242,23.84,25.2,22.65,25.5,33588909
2021-04-16,1759,23.95,24.2,23.14,24.85,12968478
2021-04-19,200,23.06,24.03,21.99,24.03,19327293
2021-04-20,785413,21.0,20.84,20.5684,22.38,19736118
2021-04-21,165306,23.02,20.67,20.67,23.2839,11940994
2021-04-22,577280,22.79,23.24,21.7,23.5,8792930
2021-04-23,53463,22.52,22.61,22.23,23.37,5623007
2021-04-26,10967,24.13,23.5,22.12,24.61,8237945
2021-04-28,49926,24.6,23.75,23.4829,24.76,6543460
2021-04-29,1657,23.41,24.29,22.18,24.29,11257635
2021-04-30,977,22.34,22.55,22.34,23.05,6577532
2021-05-03,94089,20.42,21.8,20.42,22.2032,14122974
2021-05-05,52708,20.54,20.26,20.26,21.54,5877880
2021-05-06,8819,19.53,20.0,19.17,21.0,15004697
2021-05-10,162144,18.77,20.08,18.63,20.08,17983809
2021-05-11,71174,18.95,15.15,14.59,18.95,35571346
2021-05-12,51706,16.31,17.3,16.0381,17.96,18498548
2021-05-13,7882,16.1,16.63,15.57,17.47,14136079
2021-05-14,5609,16.65,15.84,15.77,16.65,11403949
2021-05-17,1789,16.89,16.44,16.27,17.29,12326866
2021-05-18,16517,17.99,16.96,16.474,18.74,13150363
2021-05-20,215638,20.12,21.27,19.2,22.0891,97712940
2021-05-21,199586,21.87,20.61,19.96,22.73,53342100
2021-05-24,963559,27.16,26.3,24.28,28.762,131853362
2021-05-25,397111,26.46,26.59,25.5,27.29,42910959
2021-05-26,1897509,27.0,26.29,25.7,28.12,40395315
2021-05-27,624196,31.31,28.1,27.7,32.43,49615644
2021-05-28,1949376,31.8,32.75,31.62,36.44,55377330
2021-06-01,2473615,29.12,30.89,29.12,31.14,34735281
2021-06-02,803563,32.3,29.58,28.86,32.89,30951183
2021-06-03,28077,32.54,32.86,31.9,35.1,30849337
2021-06-04,139603,31.91,31.1,30.35,32.96,18085292
2021-06-07,166200,34.75,32.47,32.02,35.42,30013661
2021-06-08,33893,38.71,37.0,35.45,38.71,34676093
2021-06-09,20807,35.37,40.04,35.37,40.56,22959032
2021-06-10,300,36.91,36.11,35.08,39.0,22616165
2021-06-11,24392,36.7,35.9,34.62,37.58,14389148
2021-06-14,29259,37.96,36.86,34.7,37.96,17186063
2021-06-15,9744,35.74,37.73,35.74,38.3193,12092126
2021-06-16,28712,36.25,35.2,35.2,37.761,13295984
2021-06-17,225535,38.19,36.8,35.6,38.19,16914634
2021-06-18,23538,38.3,38.92,36.42,38.92,10871072
2021-06-21,12222,36.17,37.53,35.34,37.53,11059464
2021-06-22,60278,41.21,37.06,37.06,41.21,28243250
2021-06-23,4605,42.06,39.69,39.69,42.22,21057724
2021-06-25,90,56.1,48.82,47.19,58.6102,274204180
2021-06-29,46255,47.39,53.0,46.68,56.2,76880742
2021-07-02,1210,46.67,55.81,44.6,56.2,136455113
2021-07-06,38091,47.73,47.26,46.334,49.52,68281636
2021-07-07,47209,45.16,47.95,43.54,48.05,33831210
2021-07-08,30131,53.75,45.34,44.14,54.35,89831670
2021-07-12,23272,42.49,50.48,40.34,53.28,142428168
2021-07-15,6258,31.76,33.61,31.76,34.7587,64498420
2021-07-16,4866,30.2,33.29,30.2,33.3,49068108
2021-07-19,6783,33.8,30.51,28.93,33.8,70451901
2021-07-20,88140,33.43,31.45,29.76,33.43,43656379
2021-07-21,83841,34.85,32.09,32.09,35.4,30289808
2021-07-22,43021,31.54,33.63,31.54,34.08,23532970
2021-07-23,77239,31.0,31.3,29.16,31.93,20140099
2021-07-26,130938,30.85,30.93,30.3,31.92,15902586
2021-07-27,9796,31.05,31.55,29.46,31.99,13648112
2021-07-29,1585,32.07,32.59,31.0,32.59,10394551
2021-07-30,4534,31.46,31.56,30.12,32.48,9481607
2021-08-02,3678,33.33,31.09,30.69,34.1,16195625
2021-08-03,7041,32.0,32.94,30.46,32.94,11858323
2021-08-09,15900,36.33,33.0,33.0,36.33,18861147
2021-08-10,542,31.54,36.04,31.54,36.2,27252286
2021-08-12,25623,26.03,27.14,26.03,27.695,23859313
2021-08-13,39381,25.45,25.32,25.32,26.684,22372313
2021-08-24,149,26.67,25.77,25.77,27.2,13060234
2021-08-26,16000,26.67,26.1,25.3,27.276,10360155
2021-08-30,145293,25.78,26.08,24.82,26.78,13460914
2021-08-31,2307,27.14,26.32,26.32,28.32,29731827
2021-09-01,9667,27.42,27.38,27.38,27.72,11875331
2021-09-02,132683,27.19,26.41,25.47,28.99,41703646
2021-09-03,31739,24.88,26.29,23.8575,26.3532,32724679
2021-09-07,28720,24.73,24.81,24.05,25.1261,14346091
2021-09-08,50611,26.61,25.31,24.89,26.61,17284170
2021-09-09,14574,26.79,25.95,24.89,26.9,10660355
2021-09-10,19076,26.19,26.03,25.68,27.97,10430864
2021-09-13,15168,24.91,25.13,24.76,25.57,12973181
2021-09-14,2955,24.0,25.01,24.0,25.437,11132591
